,L12
852076800000,0.433
852080400000,0.577
852084000000,0.661
852087600000,0.689
852091200000,0.675
852094800000,0.611
852098400000,0.508
852102000000,0.348
852105600000,0.149
852109200000,0.0
852112800000,0.0
852116400000,0.0
852120000000,0.0
852123600000,0.0
852127200000,0.0
852130800000,0.0
852134400000,0.0
852138000000,0.0
852141600000,0.0
852145200000,0.0
852148800000,0.0
852152400000,0.0
852156000000,0.021
852159600000,0.177
852163200000,0.407
852166800000,0.494
852170400000,0.548
852174000000,0.533
852177600000,0.555
852181200000,0.552
852184800000,0.467
852188400000,0.32
852192000000,0.138
852195600000,0.0
852199200000,0.0
852202800000,0.0
852206400000,0.0
852210000000,0.0
852213600000,0.0
852217200000,0.0
852220800000,0.0
852224400000,0.0
852228000000,0.0
852231600000,0.0
852235200000,0.0
852238800000,0.0
852242400000,0.029
852246000000,0.233
852249600000,0.423
852253200000,0.575
852256800000,0.664
852260400000,0.696
852264000000,0.681
852267600000,0.619
852271200000,0.506
852274800000,0.313
852278400000,0.13
852282000000,0.0
852285600000,0.0
852289200000,0.0
852292800000,0.0
852296400000,0.0
852300000000,0.0
852303600000,0.0
852307200000,0.0
852310800000,0.0
852314400000,0.0
852318000000,0.0
852321600000,0.0
852325200000,0.0
852328800000,0.033
852332400000,0.24
852336000000,0.429
852339600000,0.569
852343200000,0.656
852346800000,0.694
852350400000,0.68
852354000000,0.617
852357600000,0.513
852361200000,0.335
852364800000,0.124
852368400000,0.0
852372000000,0.0
852375600000,0.0
852379200000,0.0
852382800000,0.0
852386400000,0.0
852390000000,0.0
852393600000,0.0
852397200000,0.0
852400800000,0.0
852404400000,0.0
852408000000,0.0
852411600000,0.0
852415200000,0.026
852418800000,0.222
852422400000,0.411
852426000000,0.556
852429600000,0.647
852433200000,0.686
852436800000,0.676
852440400000,0.622
852444000000,0.51
852447600000,0.346
852451200000,0.142
852454800000,0.0
852458400000,0.0
852462000000,0.0
852465600000,0.0
852469200000,0.0
852472800000,0.0
852476400000,0.0
852480000000,0.0
852483600000,0.0
852487200000,0.0
852490800000,0.0
852494400000,0.0
852498000000,0.0
852501600000,0.028
852505200000,0.211
852508800000,0.42
852512400000,0.574
852516000000,0.676
852519600000,0.715
852523200000,0.705
852526800000,0.645
852530400000,0.524
852534000000,0.318
852537600000,0.129
852541200000,0.0
852544800000,0.0
852548400000,0.0
852552000000,0.0
852555600000,0.0
852559200000,0.0
852562800000,0.0
852566400000,0.0
852570000000,0.0
852573600000,0.0
852577200000,0.0
852580800000,0.0
852584400000,0.0
852588000000,0.026
852591600000,0.212
852595200000,0.404
852598800000,0.543
852602400000,0.604
852606000000,0.65
852609600000,0.613
852613200000,0.561
852616800000,0.443
852620400000,0.299
852624000000,0.109
852627600000,0.0
852631200000,0.0
852634800000,0.0
852638400000,0.0
852642000000,0.0
852645600000,0.0
852649200000,0.0
852652800000,0.0
852656400000,0.0
852660000000,0.0
852663600000,0.0
852667200000,0.0
852670800000,0.0
852674400000,0.018
852678000000,0.174
852681600000,0.358
852685200000,0.517
852688800000,0.603
852692400000,0.618
852696000000,0.6
852699600000,0.497
852703200000,0.385
852706800000,0.257
852710400000,0.08
852714000000,0.0
852717600000,0.0
852721200000,0.0
852724800000,0.0
852728400000,0.0
852732000000,0.0
852735600000,0.0
852739200000,0.0
852742800000,0.0
852746400000,0.0
852750000000,0.0
852753600000,0.0
852757200000,0.0
852760800000,0.012
852764400000,0.142
852768000000,0.296
852771600000,0.408
852775200000,0.48
852778800000,0.507
852782400000,0.495
852786000000,0.436
852789600000,0.354
852793200000,0.218
852796800000,0.083
852800400000,0.0
852804000000,0.0
852807600000,0.0
852811200000,0.0
852814800000,0.0
852818400000,0.0
852822000000,0.0
852825600000,0.0
852829200000,0.0
852832800000,0.0
852836400000,0.0
852840000000,0.0
852843600000,0.0
852847200000,0.015
852850800000,0.16
852854400000,0.312
852858000000,0.433
852861600000,0.48
852865200000,0.538
852868800000,0.505
852872400000,0.466
852876000000,0.375
852879600000,0.228
852883200000,0.089
852886800000,0.0
852890400000,0.0
852894000000,0.0
852897600000,0.0
852901200000,0.0
852904800000,0.0
852908400000,0.0
852912000000,0.0
852915600000,0.0
852919200000,0.0
852922800000,0.0
852926400000,0.0
852930000000,0.0
852933600000,0.017
852937200000,0.167
852940800000,0.322
852944400000,0.45
